date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:34:47	250/250	---M--	200	added ('OK')	text/plain	date:Mon,%2014%20Aug%202023%2009:29:50%20GMT	https://wearecomplexcreative.com/robots.txt		(from )
15:34:47	123938/123938	---M-Z	200	added ('OK')	text/html	etag:%221848-1693196228;gz%22	https://wearecomplexcreative.com/	C:/My%20Web%20Sites/Rankhive/wearecomplexcreative.com/index.html	(from )
15:34:47	2233/2233	---M--	200	added ('OK')	image/png	date:Mon,%2014%20Aug%202023%2009:30:28%20GMT	https://wearecomplexcreative.com/wp-content/themes/cc-new/favicons/apple-touch-icon.png	C:/My%20Web%20Sites/Rankhive/wearecomplexcreative.com/wp-content/themes/cc-new/favicons/apple-touch-icon.png	(from https://wearecomplexcreative.com/)
15:34:48	842/842	---M--	200	added ('OK')	image/png	date:Mon,%2014%20Aug%202023%2009:30:28%20GMT	https://wearecomplexcreative.com/wp-content/themes/cc-new/favicons/favicon-32x32.png	C:/My%20Web%20Sites/Rankhive/wearecomplexcreative.com/wp-content/themes/cc-new/favicons/favicon-32x32.png	(from https://wearecomplexcreative.com/)
15:34:48	576/576	---M--	200	added ('OK')	image/png	date:Mon,%2014%20Aug%202023%2009:30:28%20GMT	https://wearecomplexcreative.com/wp-content/themes/cc-new/favicons/favicon-16x16.png	C:/My%20Web%20Sites/Rankhive/wearecomplexcreative.com/wp-content/themes/cc-new/favicons/favicon-16x16.png	(from https://wearecomplexcreative.com/)
15:34:49	60253/60253	---M-Z	200	added ('OK')	text/css	date:Mon,%2014%20Aug%202023%2009:30:28%20GMT	https://wearecomplexcreative.com/wp-content/themes/cc-new/dist/index.css?ver=1.0	C:/My%20Web%20Sites/Rankhive/wearecomplexcreative.com/wp-content/themes/cc-new/dist/index5152.css	(from https://wearecomplexcreative.com/)
15:34:49	111152/111152	---M--	200	added ('OK')	image/jpeg	date:Mon,%2014%20Aug%202023%2009:30:57%20GMT	https://wearecomplexcreative.com/wp-content/uploads/cc-website-blog-1.jpg	C:/My%20Web%20Sites/Rankhive/wearecomplexcreative.com/wp-content/uploads/cc-website-blog-1.jpg	(from https://wearecomplexcreative.com/)
15:34:49	3971/3971	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2014%20Aug%202023%2009:30:28%20GMT	https://wearecomplexcreative.com/wp-content/themes/cc-new/dist/runtime.js?ver=1.0	C:/My%20Web%20Sites/Rankhive/wearecomplexcreative.com/wp-content/themes/cc-new/dist/runtime5152.js	(from https://wearecomplexcreative.com/)
15:34:50	144032/144032	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2014%20Aug%202023%2009:30:28%20GMT	https://wearecomplexcreative.com/wp-content/themes/cc-new/dist/vendors.js?ver=1.0	C:/My%20Web%20Sites/Rankhive/wearecomplexcreative.com/wp-content/themes/cc-new/dist/vendors5152.js	(from https://wearecomplexcreative.com/)
15:34:50	9789/9789	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2014%20Aug%202023%2009:30:28%20GMT	https://wearecomplexcreative.com/wp-content/themes/cc-new/dist/index.js?ver=1.0	C:/My%20Web%20Sites/Rankhive/wearecomplexcreative.com/wp-content/themes/cc-new/dist/index5152.js	(from https://wearecomplexcreative.com/)
15:34:50	8773/8773	---MCZ	200	added ('OK')	application/json	etag:%221660-1692653892;gz%22	https://wearecomplexcreative.com/wp-json/wp/v2/pages/57	C:/My%20Web%20Sites/Rankhive/wearecomplexcreative.com/wp-json/wp/v2/pages/57.json	(from https://wearecomplexcreative.com/)
15:34:50	212869/212869	---MCZ	200	added ('OK')	application/json	etag:%221674-1692672464;gz%22	https://wearecomplexcreative.com/wp-json/	C:/My%20Web%20Sites/Rankhive/wearecomplexcreative.com/wp-json/index.html	(from https://wearecomplexcreative.com/)
15:34:52	826/826	---M-Z	200	added ('OK')	text/xml	date:Mon,%2028%20Aug%202023%2010:34:50%20GMT	https://wearecomplexcreative.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/Rankhive/wearecomplexcreative.com/xmlrpc0db0.php	(from https://wearecomplexcreative.com/)
15:34:52	2700/2700	---MCZ	200	added ('OK')	application/json	etag:%221659-1692653892;gz%22	https://wearecomplexcreative.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwearecomplexcreative.com%2F	C:/My%20Web%20Sites/Rankhive/wearecomplexcreative.com/wp-json/oembed/1.0/embed1d06.json	(from https://wearecomplexcreative.com/)
15:34:52	2804/2804	---MCZ	200	added ('OK')	text/xml	etag:%221661-1692653892;gz%22	https://wearecomplexcreative.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwearecomplexcreative.com%2F&format=xml	C:/My%20Web%20Sites/Rankhive/wearecomplexcreative.com/wp-json/oembed/1.0/embed3a46	(from https://wearecomplexcreative.com/)
15:34:53	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Aug%202023%2010:34:51%20GMT	https://wearecomplexcreative.com/%22https:////wearecomplexcreative.com//who-we-are///%22	C:/My%20Web%20Sites/Rankhive/wearecomplexcreative.com/_https_/wearecomplexcreative.com/who-we-are/_	(from https://wearecomplexcreative.com/)
15:34:53	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Aug%202023%2010:34:52%20GMT	https://wearecomplexcreative.com/%22https:////wearecomplexcreative.com//wp-content//uploads//Sabrina-for-animate.svg/%22//>/n	C:/My%20Web%20Sites/Rankhive/wearecomplexcreative.com/_https_/wearecomplexcreative.com/wp-content/uploads/Sabrina-for-animate.svg/_/_/n	(from https://wearecomplexcreative.com/)
15:34:54	86826/86826	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Aug%202023%2010:34:52%20GMT	https://wearecomplexcreative.com/%22https:/wearecomplexcreative.com/who-we-are/	C:/My%20Web%20Sites/Rankhive/wearecomplexcreative.com/_https_/wearecomplexcreative.com/who-we-are/index.html	(from https://wearecomplexcreative.com/)
